Geography,Zip,Total Population,Land Area in Square Miles,Population Per Square Mile (Land Area)
ZCTA5 95330,95330,"17,853",21.5,830
ZCTA5 95333,95333,"2,942",116.7,25
ZCTA5 95334,95334,"15,457",56,276
ZCTA5 95335,95335,541,42.1,13
ZCTA5 95336,95336,"42,675",38.3,"1,114"
ZCTA5 95337,95337,"31,557",45.5,693
ZCTA5 95338,95338,"11,062",340.3,33
ZCTA5 95340,95340,"33,931",39.8,854
ZCTA5 95341,95341,"32,967",149.6,220
ZCTA5 95345,95345,708,32,22
ZCTA5 95346,95346,"1,272",6,212
ZCTA5 95348,95348,"30,805",47.5,648
ZCTA5 95350,95350,"51,046",8.9,"5,749"
ZCTA5 95351,95351,"46,458",8.9,"5,238"
ZCTA5 95354,95354,"25,394",7.3,"3,459"
ZCTA5 95355,95355,"58,311",9.5,"6,145"
ZCTA5 95356,95356,"30,918",21.4,"1,446"
ZCTA5 95357,95357,"11,559",38.5,300
ZCTA5 95358,95358,"31,668",120.3,263
ZCTA5 95360,95360,"11,712",334.7,35
ZCTA5 95361,95361,"31,610",231.7,136
ZCTA5 95363,95363,"25,237",118,214
ZCTA5 95364,95364,53,272,0
ZCTA5 95365,95365,"4,985",15.2,329
ZCTA5 95366,95366,"16,575",34.4,482
ZCTA5 95367,95367,"23,173",4.6,"5,055"
ZCTA5 95368,95368,"13,614",3.3,"4,140"
ZCTA5 95369,95369,"1,099",159.3,7
ZCTA5 95370,95370,"26,803",103.2,260
ZCTA5 95372,95372,"1,963",2.7,733
ZCTA5 95374,95374,"2,030",46.6,44
ZCTA5 95375,95375,106,3,35
ZCTA5 95376,95376,"49,859",7.6,"6,530"
ZCTA5 95377,95377,"30,902",108,286
ZCTA5 95379,95379,"3,898",53.9,72
ZCTA5 95380,95380,"41,201",75,549
ZCTA5 95382,95382,"36,176",10.5,"3,446"
ZCTA5 95383,95383,"3,937",78.4,50
ZCTA5 95385,95385,429,24.8,17
ZCTA5 95386,95386,"9,877",84.9,116
ZCTA5 95387,95387,636,115.9,5
ZCTA5 95388,95388,"13,074",38.8,337
ZCTA5 95389,95389,"1,272",236,5
ZCTA5 95391,95391,"9,959",23.8,419
ZCTA5 95401,95401,"36,981",20.6,"1,793"
ZCTA5 95403,95403,"45,164",22,"2,052"
ZCTA5 95404,95404,"39,761",80,497
ZCTA5 95405,95405,"21,399",5.5,"3,907"
ZCTA5 95407,95407,"39,352",22.7,"1,735"
ZCTA5 95409,95409,"27,187",38.4,708
ZCTA5 95410,95410,950,39.9,24
ZCTA5 95412,95412,401,85.7,5
ZCTA5 95415,95415,"1,592",55.3,29
ZCTA5 95417,95417,297,75.3,4
ZCTA5 95420,95420,374,2,186
ZCTA5 95421,95421,"1,592",216.6,7
ZCTA5 95422,95422,"15,585",35.2,442
ZCTA5 95423,95423,"3,747",102.8,36
ZCTA5 95425,95425,"10,841",205.7,53
ZCTA5 95426,95426,"2,147",20.3,106
ZCTA5 95427,95427,459,69.7,7
ZCTA5 95428,95428,"2,516",225.2,11
ZCTA5 95429,95429,70,40,2
ZCTA5 95430,95430,44,0.2,185
ZCTA5 95431,95431,631,0.1,"8,311"
ZCTA5 95432,95432,426,72.9,6
ZCTA5 95435,95435,82,0.2,532
ZCTA5 95436,95436,"5,418",23,236
ZCTA5 95437,95437,"14,799",97.8,151
ZCTA5 95439,95439,675,2.7,247
ZCTA5 95441,95441,"2,014",101.9,20
ZCTA5 95442,95442,"3,178",24.4,130
ZCTA5 95443,95443,233,4.2,56
ZCTA5 95444,95444,748,0.3,"2,764"
ZCTA5 95445,95445,"2,093",85.5,24
ZCTA5 95446,95446,"4,750",32.9,144
ZCTA5 95448,95448,"16,852",188.5,89
ZCTA5 95449,95449,"1,507",130.6,12
ZCTA5 95450,95450,387,27.4,14
ZCTA5 95451,95451,"11,213",96.2,117
ZCTA5 95452,95452,"1,393",14.4,97
ZCTA5 95453,95453,"11,256",83.7,134
ZCTA5 95454,95454,"2,556",267,10
ZCTA5 95456,95456,795,10.1,79
ZCTA5 95457,95457,"2,893",148.4,19
ZCTA5 95458,95458,"3,104",49,63
ZCTA5 95459,95459,504,67.1,8
ZCTA5 95460,95460,"2,285",27.3,84
ZCTA5 95461,95461,"3,413",125.2,27
ZCTA5 95462,95462,"1,417",5.9,241
ZCTA5 95463,95463,169,11.3,15
ZCTA5 95464,95464,"2,673",3.3,804
ZCTA5 95465,95465,"2,083",41.7,50
ZCTA5 95466,95466,946,94,10
ZCTA5 95467,95467,"5,498",9.8,560
ZCTA5 95468,95468,"1,258",65.2,19
ZCTA5 95469,95469,"1,767",174.7,10
ZCTA5 95470,95470,"6,032",82.5,73
ZCTA5 95471,95471,522,1.4,362
ZCTA5 95472,95472,"28,255",69.1,409
ZCTA5 95476,95476,"35,394",112,316
ZCTA5 95482,95482,"31,808",310.9,102
ZCTA5 95485,95485,"2,557",104.9,24
ZCTA5 95486,95486,62,0,"3,201"
ZCTA5 95488,95488,280,88.7,3
ZCTA5 95490,95490,"13,264",392.2,34
ZCTA5 95492,95492,"28,532",19,"1,499"
ZCTA5 95493,95493,198,4.5,44
ZCTA5 95494,95494,139,102.9,1
ZCTA5 95497,95497,"1,305",16.2,81
ZCTA5 95501,95501,"23,976",7,"3,403"
ZCTA5 95503,95503,"24,152",86.4,279
ZCTA5 95511,95511,360,58.4,6
ZCTA5 95514,95514,254,86.7,3
ZCTA5 95519,95519,"17,432",56.8,307
ZCTA5 95521,95521,"20,199",53.5,378
ZCTA5 95524,95524,"1,787",10.4,171
ZCTA5 95525,95525,"1,733",83.4,21
ZCTA5 95526,95526,378,110.1,3
ZCTA5 95527,95527,627,137.6,5
ZCTA5 95528,95528,"1,139",102.6,11
ZCTA5 95531,95531,"24,528",195.2,126
ZCTA5 95536,95536,"2,849",147.2,19
ZCTA5 95537,95537,276,0.2,"1,548"
ZCTA5 95540,95540,"13,657",27.8,492
ZCTA5 95542,95542,"2,533",197.6,13
ZCTA5 95543,95543,765,102,8
ZCTA5 95545,95545,153,47.9,3
ZCTA5 95546,95546,"3,494",136.5,26
ZCTA5 95547,95547,"1,222",7.5,162
ZCTA5 95548,95548,"1,373",87.3,16
ZCTA5 95549,95549,805,112.3,7
ZCTA5 95550,95550,128,134.9,1
ZCTA5 95551,95551,"1,739",42.6,41
ZCTA5 95552,95552,697,539.7,1
ZCTA5 95553,95553,"1,062",59.3,18
ZCTA5 95554,95554,533,50.2,11
ZCTA5 95555,95555,410,85.9,5
ZCTA5 95556,95556,605,137,4
ZCTA5 95558,95558,425,200.9,2
ZCTA5 95559,95559,182,18.1,10
ZCTA5 95560,95560,"1,648",33.3,49
ZCTA5 95562,95562,"3,450",24.6,140
ZCTA5 95563,95563,652,60.2,11
ZCTA5 95564,95564,462,3.3,139
ZCTA5 95565,95565,"1,071",33.3,32
ZCTA5 95567,95567,"1,930",62.6,31
ZCTA5 95568,95568,136,81.3,2
ZCTA5 95569,95569,361,61.8,6
ZCTA5 95570,95570,"2,579",23.7,109
ZCTA5 95571,95571,271,0.8,359
ZCTA5 95573,95573,"1,744",120.3,15
ZCTA5 95585,95585,508,54.5,9
ZCTA5 95587,95587,201,13,15
ZCTA5 95589,95589,"1,612",186.7,9
ZCTA5 95595,95595,262,244.8,1
ZCTA5 95601,95601,198,1.8,113
ZCTA5 95602,95602,"17,509",49.4,355
ZCTA5 95603,95603,"27,844",39,713
ZCTA5 95604,95604,75,0.4,187
ZCTA5 95605,95605,"14,179",3.9,"3,636"
ZCTA5 95606,95606,196,36.3,5
ZCTA5 95607,95607,431,134.2,3
ZCTA5 95608,95608,"59,418",13,"4,556"
ZCTA5 95610,95610,"44,147",7.8,"5,638"
ZCTA5 95612,95612,"1,239",55.5,22
ZCTA5 95614,95614,"3,833",35.5,108
ZCTA5 95615,95615,834,23.2,36
ZCTA5 95616,95616,"47,032",27.6,"1,707"
ZCTA5 95618,95618,"27,281",34.9,781
ZCTA5 95619,95619,"4,842",6,806
ZCTA5 95620,95620,"20,553",240.8,85
ZCTA5 95621,95621,"39,819",6.8,"5,863"
ZCTA5 95623,95623,"3,806",52.3,73
ZCTA5 95624,95624,"61,989",44,"1,409"
ZCTA5 95625,95625,155,1.2,134
ZCTA5 95626,95626,"5,975",23.3,257
ZCTA5 95627,95627,"3,513",51.4,68
ZCTA5 95628,95628,"40,196",12.8,"3,151"
ZCTA5 95629,95629,832,46.5,18
ZCTA5 95630,95630,"72,180",27.6,"2,617"
ZCTA5 95631,95631,"6,076",152.2,40
ZCTA5 95632,95632,"29,269",110.8,264
ZCTA5 95633,95633,"3,349",41.2,81
ZCTA5 95634,95634,"3,232",81.1,40
ZCTA5 95635,95635,"1,262",20.3,62
ZCTA5 95636,95636,"1,101",115.9,9
ZCTA5 95637,95637,370,21.1,18
ZCTA5 95638,95638,"2,255",78.7,29
ZCTA5 95639,95639,283,4.5,62
ZCTA5 95640,95640,"11,353",115.4,98
ZCTA5 95641,95641,"1,986",44.6,45
ZCTA5 95642,95642,"7,164",66.2,108
ZCTA5 95645,95645,"2,037",128,16
ZCTA5 95646,95646,158,3.8,41
ZCTA5 95648,95648,"47,354",141.5,335
ZCTA5 95650,95650,"12,447",24.7,505
ZCTA5 95651,95651,637,11.6,55
ZCTA5 95652,95652,739,3.8,196
ZCTA5 95653,95653,527,5.1,102
ZCTA5 95655,95655,"4,314",9.5,455
ZCTA5 95658,95658,"6,285",24.8,253
ZCTA5 95659,95659,702,50,14
ZCTA5 95660,95660,"30,714",6.2,"4,925"
ZCTA5 95661,95661,"29,791",9,"3,309"
ZCTA5 95662,95662,"31,558",10.9,"2,903"
ZCTA5 95663,95663,"2,377",8,298
ZCTA5 95664,95664,"1,380",37.7,37
ZCTA5 95665,95665,"4,426",20.3,218
ZCTA5 95666,95666,"5,336",55.7,96
ZCTA5 95667,95667,"36,726",173.2,212
ZCTA5 95668,95668,815,60.6,13
ZCTA5 95669,95669,"2,443",88.3,28
ZCTA5 95670,95670,"52,973",12.6,"4,220"
ZCTA5 95672,95672,"4,773",22.6,211
ZCTA5 95673,95673,"15,455",16.2,953
ZCTA5 95674,95674,935,32,29
ZCTA5 95675,95675,381,0.7,553
ZCTA5 95677,95677,"23,333",8.9,"2,635"
ZCTA5 95678,95678,"41,192",10.9,"3,792"
ZCTA5 95679,95679,55,45.9,1
ZCTA5 95680,95680,146,2,73
ZCTA5 95681,95681,"1,226",17.2,71
ZCTA5 95682,95682,"29,114",81.2,359
ZCTA5 95683,95683,"6,180",90.8,68
ZCTA5 95684,95684,"3,422",145.4,24
ZCTA5 95685,95685,"4,680",49.3,95
ZCTA5 95686,95686,"1,405",27.3,52
ZCTA5 95687,95687,"65,096",43.5,"1,496"
ZCTA5 95688,95688,"34,379",81.2,423
ZCTA5 95689,95689,"1,244",27.8,45
ZCTA5 95690,95690,"2,533",57.3,44
ZCTA5 95691,95691,"34,737",41.5,837
ZCTA5 95692,95692,"4,769",54.3,88
ZCTA5 95693,95693,"6,758",62.8,108
ZCTA5 95694,95694,"9,156",149.2,61
ZCTA5 95695,95695,"37,946",142.2,267
ZCTA5 95697,95697,425,0.2,"1,834"
ZCTA5 95698,95698,236,43,5
ZCTA5 95699,95699,154,4.1,38
ZCTA5 95701,95701,983,33.3,29
ZCTA5 95703,95703,897,4.5,202
ZCTA5 95709,95709,"4,772",22.3,214
ZCTA5 95713,95713,"9,495",71.2,133
ZCTA5 95714,95714,382,3.4,114
ZCTA5 95715,95715,115,26.1,4
ZCTA5 95717,95717,231,10.2,23
ZCTA5 95720,95720,157,121.1,1
ZCTA5 95721,95721,37,12.5,3
ZCTA5 95722,95722,"4,585",10.9,420
ZCTA5 95724,95724,27,1.2,23
ZCTA5 95726,95726,"8,842",74.3,119
ZCTA5 95728,95728,386,12.4,31
ZCTA5 95735,95735,68,21.7,3
ZCTA5 95736,95736,240,0.3,957
ZCTA5 95742,95742,"7,749",49.8,156
ZCTA5 95746,95746,"21,460",17.7,"1,215"
ZCTA5 95747,95747,"51,870",46.6,"1,113"
ZCTA5 95757,95757,"40,222",60.5,665
ZCTA5 95758,95758,"60,435",12.8,"4,711"
ZCTA5 95762,95762,"38,797",41.3,940
ZCTA5 95765,95765,"33,974",12.4,"2,742"
ZCTA5 95776,95776,"21,902",92.4,237
ZCTA5 95811,95811,"7,595",2.8,"2,727"
ZCTA5 95814,95814,"9,922",1.4,"7,105"
ZCTA5 95815,95815,"24,680",7.8,"3,145"
ZCTA5 95816,95816,"15,579",2,"7,611"
ZCTA5 95817,95817,"13,534",2.3,"5,907"
ZCTA5 95818,95818,"19,811",3.8,"5,158"
ZCTA5 95819,95819,"17,141",3.4,"5,067"
ZCTA5 95820,95820,"34,480",5.2,"6,638"
ZCTA5 95821,95821,"33,550",7.2,"4,691"
ZCTA5 95822,95822,"42,347",8.4,"5,014"
ZCTA5 95823,95823,"73,985",11.8,"6,268"
ZCTA5 95824,95824,"30,221",4.1,"7,442"
ZCTA5 95825,95825,"31,084",4.7,"6,576"
ZCTA5 95826,95826,"36,628",11.5,"3,179"
ZCTA5 95827,95827,"20,269",7.6,"2,663"
ZCTA5 95828,95828,"57,862",12.3,"4,698"
ZCTA5 95829,95829,"24,755",20.8,"1,191"
ZCTA5 95830,95830,934,13,72
ZCTA5 95831,95831,"41,321",7,"5,914"
ZCTA5 95832,95832,"11,924",8.3,"1,442"
ZCTA5 95833,95833,"37,293",7.7,"4,814"
ZCTA5 95834,95834,"25,899",10,"2,591"
ZCTA5 95835,95835,"35,936",9,"4,012"
ZCTA5 95837,95837,315,18.1,17
ZCTA5 95838,95838,"36,764",9.1,"4,055"
ZCTA5 95841,95841,"19,448",4.1,"4,771"
ZCTA5 95842,95842,"31,806",3.9,"8,121"
ZCTA5 95843,95843,"45,048",6.4,"6,986"
ZCTA5 95864,95864,"22,447",6.4,"3,499"
ZCTA5 95901,95901,"31,314",196.6,159
ZCTA5 95903,95903,"1,732",14.5,119
ZCTA5 95910,95910,86,34.3,3
ZCTA5 95912,95912,"4,685",180.5,26
ZCTA5 95914,95914,578,14.7,39
ZCTA5 95915,95915,44,22.6,2
ZCTA5 95916,95916,"1,441",96.8,15
ZCTA5 95917,95917,"3,155",68.9,46
ZCTA5 95918,95918,"2,339",69.1,34
ZCTA5 95919,95919,"1,378",24.7,56
ZCTA5 95920,95920,274,69.1,4
ZCTA5 95922,95922,687,62.8,11
ZCTA5 95923,95923,58,9.9,6
ZCTA5 95925,95925,295,33.3,9
ZCTA5 95926,95926,"37,725",7.7,"4,931"
ZCTA5 95928,95928,"36,511",137.6,265
ZCTA5 95930,95930,69,16.8,4
ZCTA5 95932,95932,"7,718",124.2,62
ZCTA5 95934,95934,274,20.8,13
ZCTA5 95935,95935,631,23.6,27
ZCTA5 95936,95936,352,104.9,3
ZCTA5 95937,95937,"1,491",50.9,29
ZCTA5 95938,95938,"3,787",71.9,53
ZCTA5 95939,95939,604,305.9,2
ZCTA5 95941,95941,563,15.8,36
ZCTA5 95942,95942,"1,301",55.9,23
ZCTA5 95943,95943,879,63.3,14
ZCTA5 95944,95944,46,50.5,1
ZCTA5 95945,95945,"25,199",64.2,392
ZCTA5 95946,95946,"9,790",41.9,234
ZCTA5 95947,95947,"1,899",130.5,15
ZCTA5 95948,95948,"10,810",78,139
ZCTA5 95949,95949,"19,741",139.6,141
ZCTA5 95950,95950,569,51,11
ZCTA5 95951,95951,"2,601",18.4,142
ZCTA5 95953,95953,"10,718",113.8,94
ZCTA5 95954,95954,"12,251",71,172
ZCTA5 95955,95955,"1,517",123,12
ZCTA5 95956,95956,401,67.7,6
ZCTA5 95957,95957,761,69.9,11
ZCTA5 95959,95959,"17,838",247.9,72
ZCTA5 95960,95960,796,48.3,16
ZCTA5 95961,95961,"26,510",45.8,579
ZCTA5 95962,95962,"1,567",29.7,53
ZCTA5 95963,95963,"15,493",305.7,51
ZCTA5 95965,95965,"20,384",320.2,64
ZCTA5 95966,95966,"30,643",184.1,166
ZCTA5 95968,95968,"1,412",1.5,912
ZCTA5 95969,95969,"27,549",59,467
ZCTA5 95970,95970,530,46.8,11
ZCTA5 95971,95971,"5,970",101.2,59
ZCTA5 95973,95973,"31,957",332.8,96
ZCTA5 95974,95974,8,8.4,1
ZCTA5 95975,95975,"1,769",9.4,189
ZCTA5 95977,95977,"1,678",39.1,43
ZCTA5 95978,95978,143,6.3,23
ZCTA5 95979,95979,597,284.4,2
ZCTA5 95981,95981,97,41.1,2
ZCTA5 95982,95982,"3,221",44.4,73
ZCTA5 95983,95983,428,117.9,4
ZCTA5 95984,95984,120,33.2,4
ZCTA5 95986,95986,162,8.2,20
ZCTA5 95987,95987,"5,992",334.7,18
ZCTA5 95988,95988,"8,857",310.5,29
ZCTA5 95991,95991,"40,593",40.7,997
ZCTA5 95993,95993,"36,067",85.5,422
ZCTA5 96001,96001,"33,865",88,385
ZCTA5 96002,96002,"33,298",30.2,"1,101"
ZCTA5 96003,96003,"44,461",237.5,187
ZCTA5 96006,96006,557,161.6,3
ZCTA5 96007,96007,"22,841",129.6,176
ZCTA5 96008,96008,"1,231",36.3,34
ZCTA5 96009,96009,569,220.4,3
ZCTA5 96010,96010,239,402.1,1
ZCTA5 96011,96011,218,319.1,1
ZCTA5 96013,96013,"4,212",229.8,18
ZCTA5 96014,96014,211,132.7,2
ZCTA5 96015,96015,465,242,2
ZCTA5 96016,96016,366,42.1,9
ZCTA5 96017,96017,171,146.1,1
ZCTA5 96019,96019,"10,082",10.9,922
ZCTA5 96020,96020,"2,416",40,60
ZCTA5 96021,96021,"16,097",238.6,67
ZCTA5 96022,96022,"15,768",242,65
ZCTA5 96023,96023,"1,240",249.8,5
ZCTA5 96024,96024,"1,145",178.6,6
ZCTA5 96025,96025,"2,310",91.7,25
ZCTA5 96027,96027,"2,227",476.3,5
ZCTA5 96028,96028,"1,464",167.3,9
ZCTA5 96029,96029,124,34.9,4
ZCTA5 96031,96031,158,354.4,0
ZCTA5 96032,96032,"2,407",455.5,5
ZCTA5 96033,96033,432,141.6,3
ZCTA5 96034,96034,294,110.4,3
ZCTA5 96035,96035,"3,324",46,72
ZCTA5 96037,96037,308,4,77
ZCTA5 96038,96038,589,17.8,33
ZCTA5 96039,96039,"1,251",623.1,2
ZCTA5 96040,96040,341,123.2,3
ZCTA5 96041,96041,"2,747",329.1,8
ZCTA5 96044,96044,"1,022",140.9,7
ZCTA5 96046,96046,304,179.4,2
ZCTA5 96047,96047,"1,004",205.9,5
ZCTA5 96048,96048,736,153.5,5
ZCTA5 96049,96049,95,15.8,6
ZCTA5 96050,96050,414,285.7,1
ZCTA5 96051,96051,"1,139",309.5,4
ZCTA5 96052,96052,"1,460",77.1,19
ZCTA5 96054,96054,366,127.7,3
ZCTA5 96055,96055,"3,935",63.2,62
ZCTA5 96056,96056,"1,642",337.3,5
ZCTA5 96057,96057,"1,355",316.3,4
ZCTA5 96058,96058,798,434.9,2
ZCTA5 96059,96059,688,78.4,9
ZCTA5 96061,96061,36,41.3,1
ZCTA5 96062,96062,"1,105",72.9,15
ZCTA5 96063,96063,125,12,10
ZCTA5 96064,96064,"4,574",479.1,10
ZCTA5 96065,96065,357,84.8,4
ZCTA5 96067,96067,"7,165",135.9,53
ZCTA5 96068,96068,183,40.1,5
ZCTA5 96069,96069,982,88.6,11
ZCTA5 96071,96071,125,80.2,2
ZCTA5 96073,96073,"4,082",44.5,92
ZCTA5 96074,96074,260,100.1,3
ZCTA5 96075,96075,369,68.8,5
ZCTA5 96076,96076,166,207,1
ZCTA5 96080,96080,"28,764",612.2,47
ZCTA5 96084,96084,625,105.3,6
ZCTA5 96085,96085,85,74.6,1
ZCTA5 96086,96086,338,256.7,1
ZCTA5 96087,96087,600,78.3,8
ZCTA5 96088,96088,"4,506",157.6,29
ZCTA5 96090,96090,421,1,410
ZCTA5 96091,96091,699,452.2,2
ZCTA5 96092,96092,496,49.4,10
ZCTA5 96093,96093,"4,133",58.7,70
ZCTA5 96094,96094,"6,630",247.4,27
ZCTA5 96096,96096,695,113.9,6
ZCTA5 96097,96097,"10,031",190.7,53
ZCTA5 96101,96101,"5,490",584.2,9
ZCTA5 96103,96103,"1,725",125.7,14
ZCTA5 96104,96104,748,192.5,4
ZCTA5 96105,96105,527,253.2,2
ZCTA5 96106,96106,479,23.4,20
ZCTA5 96107,96107,"1,269",88.9,14
ZCTA5 96108,96108,122,198,1
ZCTA5 96109,96109,"2,197",197.9,11
ZCTA5 96110,96110,166,149.7,1
ZCTA5 96111,96111,160,33.5,5
ZCTA5 96112,96112,214,126.7,2
ZCTA5 96113,96113,"1,000",6.8,147
ZCTA5 96114,96114,"3,220",68,47
ZCTA5 96115,96115,145,99.6,1
ZCTA5 96116,96116,233,251,1
ZCTA5 96117,96117,405,326.7,1
ZCTA5 96118,96118,"1,627",202.9,8
ZCTA5 96119,96119,90,162.1,1
ZCTA5 96120,96120,957,210.7,5
ZCTA5 96121,96121,368,33.5,11
ZCTA5 96122,96122,"3,883",61.3,63
ZCTA5 96123,96123,48,204.4,0
ZCTA5 96124,96124,326,57.7,6
ZCTA5 96125,96125,258,98.9,3
ZCTA5 96126,96126,215,88.7,2
ZCTA5 96128,96128,752,31.4,24
ZCTA5 96129,96129,261,94.4,3
ZCTA5 96130,96130,"23,150",479.9,48
ZCTA5 96132,96132,119,388.4,0
ZCTA5 96133,96133,110,12.7,9
ZCTA5 96134,96134,"2,512",331.8,8
ZCTA5 96135,96135,128,33.3,4
ZCTA5 96136,96136,104,148.1,1
ZCTA5 96137,96137,"3,297",48.4,68
ZCTA5 96140,96140,"1,170",4.7,249
ZCTA5 96141,96141,744,12,62
ZCTA5 96142,96142,"1,037",20.2,51
ZCTA5 96143,96143,"4,414",5.5,802
ZCTA5 96145,96145,"3,161",37.2,85
ZCTA5 96146,96146,"1,366",20.9,65
ZCTA5 96148,96148,788,1.4,580
ZCTA5 96150,96150,"29,792",123.6,241
ZCTA5 96155,96155,8,37,0
ZCTA5 96161,96161,"18,451",181.8,101
ZCTA5 97635 (California part only),97635,165,41.1,4
92093,92093,"8,392",0,0